,p_val,avg_logFC,pct.1,pct.2,p_val_adj,gene
FBgn0034398,0,-1.94228223,0.9,0.982,0,CG15098
FBgn0025885,0,-1.973647276,0.908,0.957,0,Inos
FBgn0034753,0,-1.987319517,0.907,0.976,0,CG2852
FBgn0085466,0,-2.020485315,0.892,0.977,0,CG34437
FBgn0040752,0,-2.026503164,0.686,0.905,0,Prosap
FBgn0030796,0,-2.057049951,0.722,0.933,0,CG4829
FBgn0035076,0,-2.074395238,0.741,0.909,0,Ance-5
FBgn0051337,0,-2.089443876,0.848,0.942,0,CG31337
FBgn0267727,0,-2.096033915,0.764,0.93,0,Pen
FBgn0002526,0,-2.114797419,0.768,0.921,0,LanA
FBgn0026721,0,-2.119902435,0.838,0.939,0,fat-spondin
FBgn0262881,0,-2.169980609,0.869,0.95,0,CG43236
FBgn0033949,0,-2.17289393,0.784,0.929,0,CG10131
FBgn0259896,0,-2.259854534,0.83,0.965,0,NimC1
FBgn0034761,0,-2.281345403,0.894,0.989,0,CG4250
FBgn0029093,0,-2.288087884,0.88,0.987,0,cathD
FBgn0013763,0,-2.30268683,0.907,0.982,0,Idgf6
FBgn0031261,0,-2.399724533,0.855,0.962,0,nAChRbeta3
FBgn0030362,0,-2.459221469,0.971,0.991,0,regucalcin
FBgn0261800,0,-2.487898425,0.823,0.962,0,LanB1
FBgn0029147,0,-2.518931707,0.891,0.977,0,NtR
FBgn0033724,0,-2.536930506,0.964,0.997,0,CG8501
FBgn0011828,0,-2.858087353,0.902,0.99,0,Pxn
FBgn0040813,0,-2.886741813,0.996,0.999,0,Nplp2
FBgn0001114,0,-2.935156877,0.908,0.988,0,Glt
FBgn0026562,0,-2.975057062,0.929,0.994,0,SPARC
FBgn0000299,0,-2.975566093,0.894,0.99,0,Col4a1
FBgn0003137,0,-2.999024061,0.944,0.995,0,Ppn
FBgn0029167,0,-3.289227502,0.945,0.998,0,Hml
FBgn0264343,9.88131291682493e-324,-0.702571802,0.653,0.778,1.97626258336499e-320,CG43799
FBgn0052594,1.97626258336499e-323,0.7466631,0.877,0.733,3.95252516672997e-320,be
FBgn0028563,2.96439387504748e-323,0.638744848,0.847,0.707,5.92878775009496e-320,sut1
FBgn0027611,1.77863632502849e-322,-0.393751273,0.74,0.535,3.55727265005698e-319,LManII
FBgn0050069,8.34970941471707e-322,0.507804307,0.641,0.49,1.66994188294341e-318,CG30069
FBgn0261556,3.3259511146741e-319,-0.906390353,0.704,0.762,6.65190222934821e-316,CG42674
FBgn0026479,3.093409237146e-318,0.662180847,0.867,0.766,6.18681847429201e-315,Drp1
FBgn0035204,9.13720064762343e-318,0.425306017,0.841,0.722,1.82744012952469e-314,CG2277
FBgn0051092,6.07361543615581e-316,-1.05042674,0.838,0.915,1.21472308723116e-312,LpR2
FBgn0015000,1.01466332337804e-315,0.656632167,0.873,0.764,2.02932664675608e-312,betaggt-I
FBgn0030400,1.26828353343598e-315,0.708218044,0.906,0.718,2.53656706687196e-312,CG11138
FBgn0031805,8.22104855460075e-315,-0.765314932,0.684,0.826,1.64420971092015e-311,CG9505
FBgn0011824,1.17178312852031e-314,-0.866936301,0.672,0.766,2.34356625704061e-311,CG4038
FBgn0259715,1.52572590039859e-313,-0.744310093,0.795,0.835,3.05145180079718e-310,CG42369
FBgn0026713,6.26039789446471e-313,0.716218081,0.876,0.686,0.00E+00,l(1)G0007
FBgn0026196,2.29376836327805e-311,-0.869911804,0.735,0.749,4.59E-308,nop5
FBgn0259173,4.28286750352838e-311,-0.762417609,0.692,0.748,8.57E-308,corn
FBgn0025641,4.50294496849448e-311,0.653517753,0.883,0.755,9.01E-308,DAAM
FBgn0036318,7.56205477532506e-311,0.725229959,0.946,0.866,1.51E-307,Wbp2
FBgn0040236,2.14796537805203e-310,0.632106178,0.856,0.786,4.30E-307,c11.1
FBgn0004647,0.00E+00,-0.848056021,0.607,0.671,2.77E-305,N
FBgn0000071,4.18E-308,-0.762632386,0.734,0.831,8.35E-305,Ama
FBgn0038877,8.32E-308,0.548467967,0.796,0.723,1.66E-304,CG3308
FBgn0036821,3.13E-307,-0.633105547,0.696,0.676,6.26E-304,CG3961
FBgn0003371,9.25E-307,0.720483258,0.952,0.834,1.85E-303,sgg
FBgn0039908,2.67E-306,0.546617974,0.769,0.67,5.34E-303,Asator
FBgn0001624,2.82E-306,0.774421673,0.89,0.706,5.63E-303,dlg1
FBgn0031374,3.04E-306,0.683317632,0.858,0.757,6.08E-303,Wdr62
FBgn0039759,1.12E-305,0.963827823,0.811,0.727,2.25E-302,CG9733
FBgn0283741,6.18E-305,0.694617537,0.824,0.772,1.24E-301,prage
FBgn0000084,1.91E-303,0.681239901,0.863,0.711,3.81E-300,AnxB10
FBgn0050389,3.18E-303,0.578824642,0.841,0.765,6.36E-300,CG30389
FBgn0037680,1.17E-302,0.529022222,0.778,0.684,2.33E-299,pasi2
FBgn0001248,6.71E-300,-0.956430123,0.892,0.902,1.34E-296,Idh
FBgn0085443,9.56E-300,0.592438599,0.846,0.71,1.91E-296,spri
FBgn0264785,7.16E-299,0.456637511,0.853,0.767,1.43E-295,Hph
FBgn0038720,1.04E-298,0.627985728,0.843,0.732,2.07E-295,CG6231
FBgn0260746,2.49E-296,0.526131636,0.847,0.793,4.97E-293,Ect3
FBgn0035715,1.79E-294,0.663166033,0.915,0.822,3.59E-291,CG10103
FBgn0259711,1.07E-292,0.502148257,0.743,0.717,2.15E-289,CG42365
FBgn0025683,3.22E-290,-0.996156661,0.776,0.906,6.44E-287,CG3164
FBgn0027594,5.41E-290,-0.845917008,0.72,0.812,1.08E-286,drpr
FBgn0264489,1.26E-289,0.380985095,0.806,0.587,2.53E-286,CG43897
FBgn0259483,2.22E-289,0.537015196,0.881,0.717,4.43E-286,Mob4
FBgn0001104,4.66E-287,0.732216947,0.952,0.868,9.33E-284,Galphai
FBgn0024227,8.32E-286,-0.778048603,0.7,0.789,1.66E-282,aurB
FBgn0031547,1.79E-285,0.686529208,0.905,0.812,3.57E-282,Sr-CIV
FBgn0025621,4.75E-284,0.580646117,0.837,0.686,9.49E-281,CG16989
FBgn0031037,3.54E-283,0.698758325,0.833,0.728,7.09E-280,CG14207
FBgn0266420,4.20E-283,-0.857944968,0.684,0.781,8.40E-280,Ote
FBgn0028983,9.54E-283,0.601813171,0.875,0.729,1.91E-279,Spn55B
FBgn0285910,1.79E-281,0.679572732,0.953,0.869,3.58E-278,NA
FBgn0030328,4.95E-281,0.702825166,0.896,0.779,9.90E-278,Amun
FBgn0032420,2.28E-280,0.389395262,0.764,0.599,4.56E-277,CG6583
FBgn0053144,2.57E-280,0.501683953,0.787,0.488,5.14E-277,CG33144
FBgn0036262,3.81E-280,-0.778755585,0.725,0.812,7.62E-277,CG6910
FBgn0086558,1.18E-279,0.752072054,0.983,0.941,2.35E-276,Ubi-p5E
FBgn0030241,1.53E-279,-0.80088192,0.588,0.748,3.06E-276,feo
FBgn0033212,2.55E-278,0.613816689,0.871,0.777,5.09E-275,LRR
FBgn0004378,1.41E-277,-0.738878959,0.696,0.731,2.82E-274,Klp61F
FBgn0038053,7.95E-277,-0.66580078,0.653,0.82,1.59E-273,CG18549
FBgn0032935,6.06E-276,0.426359242,0.786,0.595,1.21E-272,Atg18b
FBgn0031030,5.42E-275,0.695831949,0.856,0.688,1.08E-271,Tao
FBgn0020416,1.31E-274,-0.979336351,0.807,0.912,2.63E-271,Idgf1
FBgn0029737,5.05E-271,0.637694655,0.893,0.814,1.01E-267,CG6903
FBgn0023129,1.85E-270,0.419858832,0.818,0.698,3.69E-267,aay
FBgn0041710,1.09E-269,0.693404241,0.964,0.904,2.17E-266,yellow-f
FBgn0035425,1.22E-269,0.654380735,0.912,0.831,2.45E-266,CG17746
FBgn0014163,8.64E-269,-0.977532725,0.879,0.962,1.73E-265,fax
FBgn0264491,4.65E-266,0.659299781,0.9,0.732,9.30E-263,how
FBgn0086356,1.67E-265,-0.640454272,0.742,0.746,3.34E-262,tum
FBgn0029996,6.39E-265,0.674773932,0.883,0.748,1.28E-261,UbcE2H
FBgn0039045,2.02E-262,0.533562612,0.822,0.717,4.04E-259,CG17119
FBgn0032208,3.84E-262,0.602685569,0.854,0.724,7.68E-259,CG5604
FBgn0036857,5.10E-262,-0.479389224,0.725,0.608,1.02E-258,CG9629
FBgn0000064,1.56E-261,0.729937514,0.959,0.878,3.12E-258,Ald
FBgn0259734,4.26E-261,0.389025622,0.76,0.615,8.51E-258,Nost
FBgn0039226,2.23E-258,0.438712404,0.697,0.537,4.46E-255,Ude
FBgn0003124,4.94E-258,-0.702713865,0.662,0.736,9.87E-255,polo
FBgn0000147,5.30E-258,-0.409689099,0.545,0.795,1.06E-254,aurA
FBgn0036299,3.66E-255,0.395311562,0.752,0.568,7.32E-252,Tsf2
FBgn0265487,5.46E-254,0.588976807,0.806,0.553,1.09E-250,mbl
FBgn0011705,6.31E-254,-0.658285194,0.635,0.782,1.26E-250,rost
FBgn0016917,1.95E-252,-0.707876032,0.782,0.732,3.90E-249,Stat92E
FBgn0284249,2.25E-252,0.534173829,0.845,0.741,4.49E-249,Adf1
FBgn0050344,5.02E-252,-0.827545172,0.754,0.809,1.00E-248,CG30344
FBgn0000719,6.38E-252,-0.600151298,0.681,0.723,1.28E-248,fog
FBgn0036643,8.29E-251,0.564713091,0.861,0.804,1.66E-247,Syx8
FBgn0004381,1.61E-249,0.419910402,0.78,0.722,3.21E-246,Klp68D
FBgn0030529,4.26E-249,0.617623692,0.959,0.858,8.52E-246,Clic
FBgn0002868,1.29E-248,0.890371844,0.967,0.946,2.59E-245,MtnA
FBgn0031012,1.83E-247,0.511294354,0.773,0.642,3.66E-244,CG8051
FBgn0040942,8.58E-247,-0.453915572,0.752,0.835,1.72E-243,CG12643
FBgn0052521,1.86E-245,0.394007806,0.801,0.628,3.72E-242,CG32521
FBgn0036518,2.11E-245,0.635766465,0.956,0.909,4.22E-242,RhoGAP71E
FBgn0002924,3.56E-244,-0.610978166,0.745,0.785,7.13E-241,ncd
FBgn0027558,1.72E-243,0.43625075,0.841,0.764,3.44E-240,pgant3
FBgn0026570,2.01E-243,0.396234852,0.813,0.772,4.02E-240,CG5704
FBgn0267001,4.01E-243,0.528806903,0.796,0.783,8.02E-240,Ten-a
FBgn0038842,9.13E-243,0.696207321,0.975,0.924,1.83E-239,hdly
FBgn0028663,2.08E-242,0.644859797,0.99,0.946,4.16E-239,VhaM9.7-b
FBgn0050456,5.52E-239,-0.530223922,0.766,0.729,1.10E-235,CG30456
FBgn0031913,1.73E-238,-0.701172262,0.767,0.838,3.46E-235,CG5958
FBgn0017581,2.22E-236,0.702827212,0.971,0.923,4.44E-233,Lk6
FBgn0036309,7.01E-236,0.5396118,0.828,0.741,1.40E-232,Hip1
FBgn0085478,1.28E-234,0.6267217,0.892,0.766,2.57E-231,CG34449
FBgn0039466,1.45E-234,0.425157371,0.747,0.719,2.89E-231,CG5521
FBgn0261549,2.98E-234,0.431997392,0.646,0.564,5.96E-231,rdgA
FBgn0027929,1.67E-233,-0.53422764,0.72,0.66,3.33E-230,NimB1
FBgn0050090,1.82E-233,0.587023013,0.877,0.801,3.63E-230,CG30090
FBgn0002733,3.74E-233,-0.578789676,0.735,0.725,7.47E-230,E(spl)mbeta-HLH
FBgn0051313,3.69E-232,0.581564091,0.725,0.582,7.37E-229,CG31313
FBgn0040007,6.30E-232,-0.610011015,0.999,1,1.26E-228,RpL38
FBgn0266521,7.26E-232,0.695651306,0.852,0.83,1.45E-228,stai
FBgn0004379,8.61E-232,-0.55436095,0.74,0.805,1.72E-228,Klp67A
FBgn0014469,9.38E-231,-0.674926589,0.831,0.885,1.88E-227,Cyp4e2
FBgn0031470,1.11E-230,0.449373367,0.868,0.844,2.21E-227,CG18557
FBgn0035285,1.34E-230,0.533418396,0.835,0.746,2.68E-227,CG12025
FBgn0260991,2.47E-230,-0.609053744,0.723,0.708,4.94E-227,Incenp
FBgn0036824,2.88E-230,-0.562618813,0.661,0.734,5.77E-227,CG3902
FBgn0010905,1.57E-228,-0.490564873,0.614,0.822,3.14E-225,Spn
FBgn0035236,4.54E-228,0.62305527,0.947,0.874,9.08E-225,CG12004
FBgn0032956,9.09E-228,0.536603948,0.86,0.675,1.82E-224,Cul2
FBgn0037315,1.11E-227,0.507156514,0.809,0.739,2.22E-224,Cerk
FBgn0023407,1.15E-227,0.528817889,0.819,0.752,2.30E-224,B4
FBgn0020257,1.30E-227,-0.560344958,0.651,0.799,2.60E-224,Ppa
FBgn0038974,2.36E-227,-0.575755616,0.709,0.826,4.73E-224,CG5377
FBgn0028671,6.02E-227,0.56589359,0.916,0.854,1.20E-223,Vha100-1
FBgn0266569,9.44E-226,-0.959091673,0.85,0.896,1.89E-222,CG42259
FBgn0035888,1.09E-224,-0.588327661,0.729,0.788,2.19E-221,CG7120
FBgn0266376,1.50E-224,-0.557550108,0.627,0.574,2.99E-221,CR45018
FBgn0010314,2.49E-224,-0.521062655,0.721,0.779,4.98E-221,Cks30A
FBgn0041585,6.57E-224,0.612000121,0.917,0.85,1.31E-220,olf186-F
FBgn0004584,9.69E-224,-0.647772199,0.731,0.792,1.94E-220,Rrp1
FBgn0015221,1.35E-223,-0.876440378,0.932,0.96,2.69E-220,Fer2LCH
FBgn0031973,3.95E-223,-0.556327872,0.754,0.817,7.89E-220,Spn28Dc
FBgn0032105,2.75E-221,-0.650063425,0.766,0.785,5.50E-218,borr
FBgn0040212,6.46E-220,0.433273156,0.805,0.758,1.29E-216,Dhap-at
FBgn0030994,8.10E-220,-0.658056682,0.756,0.787,1.62E-216,HP1D3csd
FBgn0035049,8.39E-220,0.873835899,0.812,0.771,1.68E-216,Mmp1
FBgn0001308,3.35E-218,0.545195345,0.886,0.732,6.71E-215,Khc
FBgn0264437,7.13E-218,-0.662907528,0.657,0.792,1.43E-214,CR43855
FBgn0012034,8.60E-218,0.553613807,0.843,0.719,1.72E-214,AcCoAS
FBgn0030955,1.70E-216,0.599625247,0.997,0.982,3.40E-213,CG6891
FBgn0038037,1.72E-216,0.586421071,0.919,0.859,3.45E-213,Cyp9f2
FBgn0250906,1.61E-215,0.567384738,0.912,0.818,3.21E-212,Pgk
FBgn0051637,1.02E-213,-0.687139084,0.67,0.759,2.04E-210,CG31637
FBgn0015399,2.20E-213,-0.538748966,0.721,0.695,4.41E-210,kek1
FBgn0033725,4.55E-213,-0.798824819,0.566,0.592,9.10E-210,Cpr49Ac
FBgn0027783,1.12E-211,-0.468636151,0.517,0.741,2.25E-208,SMC2
FBgn0029118,1.25E-211,-0.590429323,0.662,0.762,2.50E-208,Sucb
FBgn0035237,3.58E-211,0.367841968,0.729,0.709,7.17E-208,CG13917
FBgn0030326,4.51E-211,-0.519410328,0.805,0.735,9.01E-208,CG2444
FBgn0010768,3.57E-210,0.394083151,0.757,0.735,7.15E-207,sqz
FBgn0031143,4.42E-209,0.586293427,0.933,0.867,8.85E-206,CG1532
FBgn0031637,2.32E-208,0.526330693,0.871,0.804,4.64E-205,mxt
FBgn0034736,7.84E-207,-0.430903265,0.718,0.617,1.57E-203,gas
FBgn0039487,9.95E-207,-0.635675182,0.749,0.732,1.99E-203,gb
FBgn0004380,1.26E-206,0.391663202,0.799,0.755,2.53E-203,Klp64D
FBgn0033081,1.40E-206,-0.664487539,0.758,0.77,2.81E-203,geminin
FBgn0031878,2.04E-206,-0.474093927,0.655,0.785,4.08E-203,sip2
FBgn0267390,4.19E-206,0.460470963,0.805,0.675,8.37E-203,dop
FBgn0033544,4.68E-206,0.493065046,0.825,0.664,9.37E-203,CG7220
FBgn0015396,3.03E-205,-0.524903511,0.652,0.736,6.05E-202,jumu
FBgn0001233,4.28E-205,-0.603352278,0.915,0.889,8.56E-202,Hsp83
FBgn0011747,1.28E-204,0.572391107,0.929,0.817,2.56E-201,Ank
FBgn0050148,1.43E-204,0.508755424,0.714,0.532,2.86E-201,CG30148
FBgn0040091,4.48E-203,-0.634390525,0.629,0.723,8.96E-200,Ugt58Fa
FBgn0032906,7.93E-203,-0.535919233,0.619,0.738,1.59E-199,RPA2
FBgn0053465,1.33E-201,-0.416532219,0.406,0.655,2.66E-198,CG33465
FBgn0039928,2.53E-201,0.514878586,0.825,0.624,5.07E-198,Cals
FBgn0001296,4.65E-201,-0.407436827,0.686,0.581,9.31E-198,kar
FBgn0035209,9.37E-201,-0.493519827,0.769,0.725,1.87E-197,msd1
FBgn0002873,9.80E-201,-0.611855509,0.631,0.683,1.96E-197,mud
FBgn0039132,1.25E-200,0.512884619,0.849,0.706,2.51E-197,AP-1sigma
FBgn0005655,1.45E-200,-0.737640788,0.741,0.8,2.89E-197,PCNA
FBgn0024320,1.64E-200,-0.658613468,0.798,0.865,3.29E-197,Npc1a
FBgn0040382,2.44E-200,-0.492751273,0.685,0.802,4.87E-197,CG5273
FBgn0262794,1.23E-198,-0.696347208,0.745,0.818,2.47E-195,CG43175
FBgn0033996,1.57E-198,0.442507922,0.802,0.655,3.13E-195,CG11807
FBgn0261444,2.24E-197,-0.709462214,0.675,0.786,4.48E-194,CG3638
FBgn0263289,1.08E-196,0.495198122,0.796,0.666,2.16E-193,scrib
FBgn0016081,1.67E-196,0.474520845,0.777,0.704,3.34E-193,fry
FBgn0000547,6.75E-196,0.44574917,0.799,0.515,1.35E-192,ed
FBgn0034091,8.85E-196,0.552882904,0.835,0.702,1.77E-192,mrj
FBgn0261862,2.45E-195,-0.546810037,0.67,0.803,4.89E-192,whd
FBgn0010300,8.56E-194,-0.515224104,0.654,0.633,1.71E-190,brat
FBgn0004106,8.68E-194,-0.481361624,0.736,0.78,1.74E-190,Cdk1
FBgn0051158,9.20E-194,0.483655362,0.826,0.68,1.84E-190,Efa6
FBgn0031738,1.41E-193,-0.571779502,0.716,0.709,2.83E-190,CG9171
FBgn0030052,3.36E-193,0.497478907,0.998,0.979,6.72E-190,CG12065
FBgn0032946,8.31E-193,-0.428323792,0.522,0.731,1.66E-189,nrv3
FBgn0022787,2.27E-192,0.488332743,0.808,0.788,4.53E-189,Hel89B
FBgn0037705,2.31E-192,0.524506531,0.831,0.631,4.63E-189,mura
FBgn0033928,6.03E-190,0.447179803,0.886,0.806,1.21E-186,Arc2
FBgn0004908,8.86E-190,0.399302036,0.845,0.775,1.77E-186,Arl2
FBgn0029969,1.78E-189,-0.633924867,0.72,0.788,3.57E-186,CG10932
FBgn0035083,2.65E-188,-0.381552718,0.757,0.766,5.29E-185,Tina-1
FBgn0039613,6.69E-188,-0.409778587,0.668,0.782,1.34E-184,CG14527
FBgn0033373,7.59E-188,-0.668330982,0.769,0.78,1.52E-184,CG8080
FBgn0266000,1.22E-187,0.587690536,0.86,0.7,2.43E-184,CG44774
FBgn0002466,3.15E-187,-0.423998991,0.755,0.695,6.30E-184,sti
FBgn0011666,8.14E-187,0.549106013,0.948,0.861,1.63E-183,msi
FBgn0032864,1.02E-186,-0.658998524,0.812,0.808,2.04E-183,CG2493
FBgn0283666,1.44E-186,0.49696979,0.84,0.733,2.89E-183,Rap2l
FBgn0003076,4.86E-186,0.373703638,0.824,0.784,9.72E-183,Pgm
FBgn0261445,1.53E-185,-0.503968905,0.757,0.809,3.07E-182,sgl
FBgn0039505,2.01E-185,0.477311262,0.872,0.75,4.02E-182,CG5934
FBgn0003502,2.45E-185,-0.425941652,0.637,0.598,4.90E-182,Btk29A
FBgn0037094,1.37E-184,0.509063571,0.842,0.744,2.75E-181,CG7611
FBgn0285992,1.59E-184,0.466689388,0.813,0.619,3.18E-181,NA
FBgn0011606,4.36E-184,-0.430247226,0.556,0.739,8.72E-181,Klp3A
FBgn0026090,9.56E-184,0.501787363,0.878,0.819,1.91E-180,CG14812
FBgn0037354,3.32E-183,-0.519272191,0.729,0.811,6.63E-180,CG12171
FBgn0051710,4.77E-183,0.43677544,0.835,0.728,9.54E-180,CG31710
FBgn0035444,4.94E-183,0.480973965,0.865,0.755,9.89E-180,CG12012
FBgn0031566,5.28E-182,0.493679767,0.811,0.675,1.06E-178,CG2818
FBgn0050414,6.36E-182,-0.503656291,0.634,0.695,1.27E-178,CG30414
FBgn0020633,1.50E-181,-0.466028474,0.741,0.699,3.00E-178,Mcm7
FBgn0010786,2.71E-181,-0.546321275,0.566,0.749,5.42E-178,l(3)02640
FBgn0028480,1.00E-180,0.482009418,0.851,0.782,2.00E-177,CG17841
FBgn0034970,1.60E-180,0.51885005,0.887,0.811,3.20E-177,yki
FBgn0086532,4.77E-180,0.524395431,0.94,0.874,9.55E-177,Spt-I
FBgn0013759,9.29E-180,0.411662757,0.765,0.66,1.86E-176,CASK
FBgn0061198,1.54E-179,0.482894834,0.957,0.906,3.08E-176,HSPC300
FBgn0010441,7.81E-179,0.422716242,0.857,0.789,1.56E-175,pll
FBgn0031824,3.25E-178,-0.456259636,0.737,0.759,6.49E-175,CG9547
FBgn0284220,1.15E-177,-0.543207051,0.758,0.699,2.29E-174,Top2
FBgn0024920,1.60E-177,-0.469589618,0.738,0.784,3.21E-174,Ts
FBgn0034194,3.89E-176,-0.531928236,0.742,0.73,7.79E-173,CG15611
FBgn0016126,5.31E-176,0.456248639,0.81,0.766,1.06E-172,CaMKI
FBgn0034915,6.09E-175,-0.538245779,0.581,0.721,1.22E-171,eIF6
FBgn0045073,7.17E-174,0.485892067,0.921,0.881,1.43E-170,Stim
FBgn0038516,2.76E-173,0.478618804,0.772,0.724,5.52E-170,P5cr-2
FBgn0029148,1.31E-169,-0.477421957,0.705,0.716,2.61E-166,NHP2
FBgn0034501,1.38E-169,0.513680463,0.833,0.733,2.75E-166,CG13868
FBgn0010350,2.38E-169,0.417666364,0.821,0.697,4.76E-166,CdsA
FBgn0259175,1.26E-168,0.384536812,0.757,0.641,2.53E-165,ome
FBgn0033551,1.38E-168,0.403405784,0.813,0.673,2.75E-165,CG7222
FBgn0001086,2.24E-168,-0.476522483,0.669,0.721,4.49E-165,fzy
FBgn0013718,5.52E-168,0.490587052,0.876,0.814,1.10E-164,nuf
FBgn0261802,6.16E-168,-0.525896932,0.696,0.815,1.23E-164,CG42748
FBgn0016059,1.81E-167,0.55887791,0.891,0.873,3.62E-164,Sema1b
FBgn0032421,3.88E-167,0.447599478,0.85,0.814,7.75E-164,crok
FBgn0020386,9.37E-167,-0.55441594,0.541,0.722,1.87E-163,Pdk1
FBgn0032253,1.15E-166,-0.362662362,0.751,0.655,2.31E-163,LManI
FBgn0011703,2.44E-166,-0.476001797,0.693,0.702,4.89E-163,RnrL
FBgn0040837,3.74E-164,-0.406082538,0.731,0.599,7.48E-161,CG8620
FBgn0025814,1.23E-162,-0.530175827,0.784,0.85,2.47E-159,Mgstl
FBgn0025815,2.36E-162,-0.36898446,0.764,0.651,4.72E-159,Mcm6
FBgn0039250,2.62E-161,-0.461283761,0.615,0.698,5.24E-158,Mink
FBgn0062440,6.88E-161,0.426119222,0.867,0.811,1.38E-157,CG17680
FBgn0032050,2.02E-160,-0.538429017,0.538,0.659,4.04E-157,CG13096
FBgn0013770,1.37E-158,-0.655213312,0.991,0.995,2.73E-155,Cp1
FBgn0266421,7.04E-158,-0.576727508,0.777,0.806,1.41E-154,RPA3
FBgn0033987,1.08E-157,-0.44747192,0.713,0.688,2.16E-154,ckn
FBgn0001224,2.79E-157,-0.585211191,0.793,0.82,5.59E-154,Hsp23
FBgn0035589,8.00E-156,0.372631518,0.85,0.826,1.60E-152,CHMP2B
FBgn0032919,8.69E-156,-0.41803327,0.719,0.626,1.74E-152,CG9253
FBgn0036728,1.79E-155,-0.676825653,0.933,0.941,3.57E-152,UQCR-Q
FBgn0000405,2.12E-155,-0.470945852,0.571,0.676,4.24E-152,CycB
FBgn0032147,6.54E-154,-0.430570142,0.704,0.742,1.31E-150,IP3K1
FBgn0033978,1.78E-153,-0.451980996,0.712,0.712,3.57E-150,Cyp6a23
FBgn0028424,3.54E-153,0.404240754,0.853,0.838,7.08E-150,JhI-26
FBgn0029823,8.95E-153,-0.428158466,0.69,0.657,1.79E-149,CG3011
FBgn0040232,1.06E-151,-0.392426373,0.702,0.736,2.11E-148,cmet
FBgn0034248,1.50E-151,0.451934764,0.887,0.752,3.00E-148,CG14483
FBgn0039419,4.35E-151,-0.421449638,0.538,0.597,8.70E-148,CG12290
FBgn0025335,2.24E-150,0.434403536,0.877,0.797,4.47E-147,CG4585
FBgn0034399,4.43E-150,-0.507623764,0.639,0.779,8.86E-147,CG15083
FBgn0267698,5.43E-150,0.419045363,0.765,0.664,1.09E-146,Pak
FBgn0027601,1.22E-149,-0.523740557,0.732,0.811,2.43E-146,pdgy
FBgn0011692,2.95E-149,-0.392718166,0.455,0.63,5.90E-146,pav
FBgn0261108,8.05E-149,0.431506307,0.827,0.739,1.61E-145,Atg13
FBgn0002542,1.20E-147,-0.535998572,0.636,0.708,2.41E-144,lds
FBgn0015801,1.61E-147,0.476569605,0.859,0.757,3.22E-144,Reg-5
FBgn0263260,3.18E-147,-0.51675355,0.646,0.744,6.35E-144,sel
FBgn0033244,3.19E-147,0.405372233,0.833,0.756,6.39E-144,CG8726
FBgn0015222,5.10E-146,-0.698037329,0.937,0.962,1.02E-142,Fer1HCH
FBgn0032848,1.90E-144,-0.368075824,0.691,0.739,3.80E-141,nesd
FBgn0011704,3.96E-144,-0.410506688,0.807,0.757,7.92E-141,RnrS
FBgn0022774,2.54E-143,-0.551911275,0.728,0.781,5.09E-140,Oat
FBgn0038353,4.10E-143,-0.599731814,0.654,0.726,8.20E-140,CG5399
FBgn0263039,4.78E-143,-0.553491331,0.542,0.659,9.57E-140,CR43334
FBgn0286198,1.30E-141,-0.555997075,0.623,0.692,2.59E-138,NA
FBgn0001168,2.21E-139,-0.632129771,0.627,0.741,4.43E-136,h
FBgn0250785,5.59E-139,0.432596713,0.901,0.811,1.12E-135,vari
FBgn0037231,8.15E-139,0.376750159,0.873,0.788,1.63E-135,Vps24
FBgn0033051,2.51E-137,0.364233742,0.836,0.795,5.02E-134,Strica
FBgn0266696,4.31E-136,-0.508559784,0.736,0.715,8.62E-133,CG45186
FBgn0011837,3.79E-134,-0.57291065,0.91,0.915,7.58E-131,Tis11
FBgn0261560,5.05E-134,0.409354673,0.854,0.829,1.01E-130,Thor
FBgn0029608,5.40E-133,-0.407393007,0.729,0.821,1.08E-129,CG3091
FBgn0038149,1.90E-131,0.414435569,0.803,0.822,3.81E-128,GILT1
FBgn0033121,2.25E-131,0.362967952,0.801,0.746,4.50E-128,Cyp6u1
FBgn0040907,6.30E-131,-0.581497986,0.822,0.872,1.26E-127,mRpL33
FBgn0010387,3.03E-130,0.409491428,0.833,0.867,6.07E-127,Dbi
FBgn0030876,3.90E-129,0.425766978,0.794,0.765,7.79E-126,CG6762
FBgn0041094,1.18E-128,-0.570485794,0.706,0.729,2.35E-125,scyl
FBgn0030520,9.19E-127,-0.610514756,0.813,0.837,1.84E-123,Pdcd4
FBgn0259876,1.28E-125,-0.419554354,0.621,0.719,2.56E-122,Cap-G
FBgn0036101,3.37E-125,-0.476952938,0.757,0.829,6.75E-122,NijA
FBgn0031049,6.04E-125,-0.568791246,0.86,0.853,1.21E-121,Sec61gamma
FBgn0058469,1.30E-124,0.464705428,0.987,0.965,2.59E-121,CR40469
FBgn0015371,2.78E-124,-0.383605648,0.559,0.689,5.56E-121,chn
FBgn0040099,8.24E-124,-0.70113322,0.943,0.969,1.65E-120,lectin-28C
FBgn0263200,2.22E-123,-0.404143117,0.617,0.657,4.45E-120,Galt
FBgn0039737,9.79E-123,-0.380561396,0.651,0.783,1.96E-119,CG7920
FBgn0050046,6.24E-122,-0.456089715,0.617,0.646,1.25E-118,CG30046
FBgn0036816,6.97E-121,0.415698576,0.828,0.7,1.39E-117,Indy
FBgn0051219,7.65E-121,-0.502462243,0.748,0.813,1.53E-117,CG31219
